section,group,event,trigger,frequency,server_side,field_count
2 E-Commerce Events,Checkout Events,checkout_error,Validation error during checkout,Per error,no,8
2 E-Commerce Events,Checkout Events,checkout_abandoned,User leaves checkout (server-side detection),Once per abandonment,yes,7
2 E-Commerce Events,Checkout Events,billing_address_entered,User enters billing address,Once per checkout,no,5
2 E-Commerce Events,Checkout Events,shipping_method_selected,User selects shipping method,Per selection,no,5
2 E-Commerce Events,Checkout Events,payment_method_selected,User selects payment method,Per selection,no,4
2 E-Commerce Events,Order Events,placed_order,Order confirmation after successful payment,Once per order,no,27
2 E-Commerce Events,Order Events,order_completed,Order ships or is marked complete (server-side),Once per order,yes,6
2 E-Commerce Events,Order Events,order_refund,Order is refunded (server-side),Per refund,yes,5
2 E-Commerce Events,Order Events,order_return,Customer initiates return (server-side),Per return,yes,5
2 E-Commerce Events,Order Events,repeat_purchase,Customer places second+ order (server-side),Per repeat order,yes,8
2 E-Commerce Events,Subscription Events,subscription_start,Customer subscribes to product/service,Once per subscription,no,9
2 E-Commerce Events,Subscription Events,subscription_cancel,Customer cancels subscription,Once per cancellation,no,7
2 E-Commerce Events,Subscription Events,subscription_upgrade,Customer upgrades subscription plan,Per upgrade,no,8
2 E-Commerce Events,Subscription Events,subscription_downgrade,Customer downgrades subscription plan,Per downgrade,no,6
3 Customer Identity Events,Customer Identity Events,identify,Manual call to umerang.identify() or auto-detection from email link,Per identification,no,10
3 Customer Identity Events,Customer Identity Events,profile_update,Customer updates profile information,Per update,no,5
3 Customer Identity Events,Customer Identity Events,email_confirmed,Customer confirms email address,Once per email,no,3
3 Customer Identity Events,Customer Identity Events,phone_confirmed,Customer confirms phone number,Once per phone,no,3
3 Customer Identity Events,Customer Identity Events,account_created,Customer creates account on merchant site,Once per account,no,5
3 Customer Identity Events,Customer Identity Events,login,Customer logs into account,Per login,no,5
3 Customer Identity Events,Customer Identity Events,logout,Customer logs out,Per logout,no,3
3 Customer Identity Events,Customer Identity Events,password_reset,Customer resets password,Per reset,no,4
3 Customer Identity Events,Customer Identity Events,email_unsubscribe,Customer unsubscribes from emails,Per unsubscribe,no,4
3 Customer Identity Events,Customer Identity Events,consent_update,Customer updates consent preferences,Per update,no,5
4 Custom Merchant Events,Custom Merchant Events,custom_event,Any merchant-defined event via umerang.track(),Varies,no,6
